"value","indID","period","region","dsID","source","is_number"
14505,"COL.B.POP.0001","1997-01-01","COL-817","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2311,"COL.B.POP.0001","1999-01-01","COL-1188","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
4427,"COL.B.POP.0001","1999-01-01","COL-1192","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
3994,"COL.B.POP.0001","1997-01-01","COL-810","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2526,"COL.B.POP.0001","1998-01-01","COL-1609","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2018,"COL.B.POP.0001","1997-01-01","COL-816","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
3215,"COL.B.POP.0001","1998-01-01","COL-830","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1308,"COL.B.POP.0001","1998-01-01","COL-1608","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
4681,"COL.B.POP.0002","1997-01-01","COL-1438","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2997,"COL.B.POP.0001","1998-01-01","COL-831","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
16935,"COL.B.POP.0002","1997-01-01","COL-1928","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2573,"COL.B.POP.0001","1997-01-01","COL-2123","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
21501,"COL.B.POP.0002","1997-01-01","COL-1436","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
15025,"COL.B.POP.0001","1999-01-01","COL-1570","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
7936,"COL.B.POP.0002","1997-01-01","COL-1926","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
13895,"COL.B.POP.0002","1997-01-01","COL-2124","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
3134,"COL.B.POP.0001","1999-01-01","COL-809","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1122,"COL.B.POP.0002","1997-01-01","COL-1060","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1041,"COL.B.POP.0002","1997-01-01","COL-1055","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
7097,"COL.B.POP.0001","1999-01-01","COL-802","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
13114,"COL.B.POP.0002","1997-01-01","COL-1616","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
22591,"COL.B.POP.0002","1997-01-01","COL-1925","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
3431,"COL.B.POP.0001","1997-01-01","COL-1092","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
287703,"COL.B.POP.0001","1998-01-01","COL-953","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
0,"COL.B.POP.0001","1999-01-01","COL-2108","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
2482,"COL.B.POP.0001","1999-01-01","COL-804","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
16260,"COL.B.POP.0001","1997-01-01","COL-807","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
9533,"COL.B.POP.0001","1997-01-01","COL-944","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
23302,"COL.B.POP.0001","1998-01-01","COL-941","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
3877,"COL.B.POP.0001","1998-01-01","COL-1613","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
17500,"COL.B.POP.0002","1997-01-01","COL-1929","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
11381,"COL.B.POP.0002","1997-01-01","COL-1811","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
37710,"COL.B.POP.0001","1997-01-01","COL-932","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
3041,"COL.B.POP.0001","1998-01-01","COL-1648","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1608,"COL.B.POP.0001","1998-01-01","COL-828","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
1206,"COL.B.POP.0001","1997-01-01","COL-812","ocha_colombia_sidih","http://sidih.salahumanitaria.co",1
