cps_pcode,country_iso_alpha_3_code,country_name,admin_level,admin_level_name,place_name,pcode
COL-05,COL,Colombia,1,Department,Antioquia,5
COL-08,COL,Colombia,1,Department,Atlántico,8
COL-11,COL,Colombia,1,Department,"Bogotá, D.C.",11
COL-13,COL,Colombia,1,Department,Bolívar,13
COL-15,COL,Colombia,1,Department,Boyacá,15
COL-17,COL,Colombia,1,Department,Caldas,17
COL-18,COL,Colombia,1,Department,Caquetá,18
COL-19,COL,Colombia,1,Department,Cauca,19
COL-20,COL,Colombia,1,Department,Cesar,20
COL-23,COL,Colombia,1,Department,Córdoba,23
COL-25,COL,Colombia,1,Department,Cundinamarca,25
COL-27,COL,Colombia,1,Department,Chocó,27
COL-41,COL,Colombia,1,Department,Huila,41
COL-44,COL,Colombia,1,Department,La Guajira,44
COL-47,COL,Colombia,1,Department,Magdalena,47
COL-50,COL,Colombia,1,Department,Meta,50
COL-52,COL,Colombia,1,Department,Nariño,52
COL-54,COL,Colombia,1,Department,Norte de Santander,54
COL-63,COL,Colombia,1,Department,Quindio,63
COL-66,COL,Colombia,1,Department,Risaralda,66
COL-68,COL,Colombia,1,Department,Santander,68
COL-70,COL,Colombia,1,Department,Sucre,70
COL-73,COL,Colombia,1,Department,Tolima,73
COL-76,COL,Colombia,1,Department,Valle del Cauca,76
COL-81,COL,Colombia,1,Department,Arauca,81
COL-85,COL,Colombia,1,Department,Casanare,85
COL-86,COL,Colombia,1,Department,Putumayo,86
COL-88,COL,Colombia,1,Department,Archipiélago de San Andrés,88
COL-91,COL,Colombia,1,Department,Amazonas,91
COL-94,COL,Colombia,1,Department,Guainía,94
COL-95,COL,Colombia,1,Department,Guaviare,95
COL-97,COL,Colombia,1,Department,Vaupés,97
COL-99,COL,Colombia,1,Department,Vichada,99
COL-05001,COL,Colombia,2,Municipality,Medellín,5001
COL-05002,COL,Colombia,2,Municipality,Abejorral,5002
COL-05004,COL,Colombia,2,Municipality,Abriaquí,5004
COL-05021,COL,Colombia,2,Municipality,Alejandría,5021
COL-05030,COL,Colombia,2,Municipality,Amagá,5030
COL-05031,COL,Colombia,2,Municipality,Amalfi,5031
COL-05034,COL,Colombia,2,Municipality,Andes,5034
COL-05036,COL,Colombia,2,Municipality,Angelópolis,5036
