DATOS SECTORIALES EN EL SISTEMA SISSH,,,,,
,,,,,
CONFLICTO,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Acciones Subversivas,Protecci_n,Direcci_n de Polic_a Judicial e Investigaci_n-DIJIN,2004-2012,Municipal,"Acciones hostiles cometidas por los grupos subversivos en contra de la institucion policial y en algunos casos contra la poblacion civil. estas acciones incluyen Ataques a instalaciones policiales, ataques a aeronaves, ataques urbanos, contactos armados, emboscadas, hostigamientos, incursion a poblaciones y asalto a poblaciones"
Cultivos de Coca,Protecci_n,UNODC - Oficina de las Naciones Unidas Contra la Droga y el Delito,2001-2012,Municipal,N_mero de Hect_reas sembradas con cultivos de coca en el territorio.
Desaparecidos reportados,Protecci_n,Instituto Nacional de Medicina Legal,2004-2013,Municipal,"Datos de desaparecidos totales registrados en SIRDEC, Estado de de desaparici_n: actualmente desparecidos."
Homicidio a Alcaldes y Exalcaldes,Protecci_n,Observatorio del Programa Presidencial de DDHH y DIH,2003-2012,Municipal,Homicidios a Alcaldes y Exalcaldes esta dentro de la categoria de Homicidio a Persona Protegida.
Homicidio a Docente no sindicalizado,Protecci_n,Ministerio de Trabajo,2003-2012,Municipal,Homicidio a docente no sindicalizado se encuentra en la categor_a de homicidio a persona protegida
Homicidio a Docente Sindicalizado,Protecci_n,Ministerio de Trabajo,2000-2012,Municipal,Homicidio a Docente Sindicalizado se encuentra en la categor_a de homicidio a persona protegida
Homicidio a Ind_genas,Protecci_n,Observatorio del Programa Presidencial de DDHH y DIH,2003-2011,Municipal,Homicidio a Ind_genas se encuentra en la categor_a de homicidio a persona protegida
Homicidio a l_deres comunitarios,Protecci_n,Observatorio del Programa Presidencial de DDHH y DIH,2004-2011,Municipal,Homicidio a l_deres comunitarios se encuentra en la categor_a de homicidio a persona protegida
Homicidio a mujeres,Protecci_n,Instituto Nacional de Medicina Legal,2012,Municipal,"Homicidios a mujeres.La definici_n de homicidio aplicada por el Instituto Nacional de Medicina Legal y Ciencias Forenses - INMLCF, desde el punto de vista m_dico legal es ?El que matare a otro? (Art_culo 103, Cap. II, C_digo Penal Colombiano - Ley 599 de 2000); de forma intencional o no intencional. Es importante anotar que cuando se clasifica un caso en este _tem no se trata de tipificar un delito, ni de hacer juicios de valor o de responsabilidad ya que esto es competencia de la autoridad."
Homicidio a Periodista,Protecci_n,Observatorio del Programa Presidencial de DDHH y DIH,2003-2012,Municipal,Homicidio a periodista como homicidio a persona protegida
Homicidio a Sindicalistas de otros sectores,Protecci_n,Ministerio de Trabajo,2000-2012,Municipal,Homicidio a Sindicalistas de otros sectores se encuentra en la categor_a de homicidio a persona protegida
Homicidio Concejales,Protecci_n,Observatorio del Programa Presidencial de DDHH y DIH,2003-2013,Municipal,Homicidio Concejales hace parte de la categor_a de homicidio a persona protegida
Homicidios DIJIN,Protecci_n,Direcci_n de Polic_a Judicial e Investigaci_n-DIJIN,2003-2013,Municipal,"El homicidio en general, se puede definir_como matar a un ser humano; la acci_n es matar; el resultado material tipificado es la muerte. Es un delito instant_neo que se consuma en el momento de producirse la muerte de la v_ctima. Seg_n el C_digo Penal es: ""el que matare a otro"" articulo 103 ley 599 de 2000. Policialmente el homicidio com_n es toda muerte que fuere causada por cualquier tipo de arma a excepci_n de aquellos que fueren cometidos en accidentes de tr_nsito."
Homicidios hombres,Protecci_n,Instituto Nacional de Medicina Legal,2012,Municipal,"Homicidios a hombres.La definici_n de homicidio aplicada por el Instituto Nacional de Medicina Legal y Ciencias Forenses - INMLCF, desde el punto de vista m_dico legal es ?El que matare a otro? (Art_culo 103, Cap. II, C_digo Penal Colombiano - Ley 599 de 2000); de forma intencional o no intencional. Es importante anotar que cuando se clasifica un caso en este _tem no se trata de tipificar un delito, ni de hacer juicios de valor o de responsabilidad ya que esto es competencia de la autoridad."
Homicidios Medicina Legal,Protecci_n,Instituto Nacional de Medicina Legal,2004-2013,Municipal,"El que matare a otro de forma intencional o no intencional (definici_n aplicada por el Instituto Nacional de Medicina Legal y Ciencias Forenses - Art_culo 103, cap II, C_digo Penal Colombiano Ley 599 de 2000)."
Homicidios Observatorio del programa presidencial de DDHH y DIH,Protecci_n,Observatorio del Programa Presidencial de DDHH y DIH,2004-2013,Municipal,"El homicidio en general, se puede definir como matar a un ser humano; la acci_n es matar; el resultado material tipificado es la muerte. Es un delito instant_neo que se consuma en el momento de producirse la muerte de la v_ctima. Seg_n el C_digo Penal es: ""el que matare a otro"" articulo 103 ley 599 de 2000. Policialmente el homicidio com_n es toda muerte que fuere causada por cualquier tipo de arma a excepci_n de aquellos que fueren cometidos en accidentes de tr_nsito."
N_mero de artefactos explosivos desactivados,Protecci_n,Direcci_n de Polic_a Judicial e Investigaci_n-DIJIN,2003-2012,Municipal,Ver Artefactos Explosivos
N_mero de hect_reas seg_n solicitudes de ingreso al registro de tierras despojadas y abandonadas for,Protecci_n,Unidad de Tierras,2012-2013,Departamental,N_mero de hect_reas seg_n solicitudes de ingreso al registro de tierras despojadas y abandonadas forzosamente
N_mero de solicitudes de ingreso al registro de tierras despojadas y abandonadas forzosamente,Protecci_n,Unidad de Tierras,2012-2013,Departamental,N_mero de solicitudes de ingreso al registro de tierras despojadas y abandonadas forzosamente
Porcentaje de las solicitudes de ingreso al registro de tierras despojadas y abandonadas forzosament,Protecci_n,Unidad de Tierras,2012,Departamental,Porcentaje de las solicitudes de ingreso al registro de tierras despojadas y abandonadas forzosamente
Secuestro Extorsivo,Protecci_n,Direcci_n de Polic_a Judicial e Investigaci_n-DIJIN,2003-2013,Municipal,"Consiste en arrebatar, sustraer, retener, u ocultar a una persona, con el prop_sito de exigir por su libertad un provecho unicamente econ_mico."
Secuestro Simple,Protecci_n,Direcci_n de Polic_a Judicial e Investigaci_n-DIJIN,2003-2013,Municipal,"Consiste en arrebatar, sustraer, retener, u ocultar a una persona, con el prop_sito de exigir por su libertad un provecho o cualquier utilidad, o para que se haga u omita algo, con fines publicitarios o de car_cter pol_tico."
Secuestros total,Protecci_n,Direcci_n de Polic_a Judicial e Investigaci_n-DIJIN,2005-2012,Municipal,"Consiste en arrebatar, sustraer, retener, u ocultar a una persona, con el prop_sito de exigir por su libertad un provecho o cualquier utilidad, o para que se haga u omita algo, con fines publicitarios, de car_cter pol_tico y/o econ_mico."
Tasa Homicidios,Protecci_n,Direcci_n de Polic_a Judicial e Investigaci_n-DIJIN,2003-2013,Municipal,"Tasa de homicidios por cada 100,000 habitantes"
,,,,,
DEMOGRAF_A,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Poblaci_n Total,No Determinado,DANE,1995-2014,Municipal,"Est_ Constituida por la poblaci_n civil no institucional, se exluye la poblaci_n residente en lugares colectivos como hospitales, orfelinatos, colegios, cuarteles, etc. La poblaci_n total se estima por proyecciones con base en los resultados de los censos de poblaci_n."
Crecimiento Natural,No Determinado,DANE,2005-2008,Departamental,"Incremento o disminuci_n del tama_o de una poblaci_n, experimentado por el efecto del balance entre los nacimientos y las defunciones (aumento natural en cifras relativas)."
Esperanza de Vida al Nacer - Hombres,No Determinado,DANE,2000-2008,Departamental,"N_mero promedio de a_os que vivir_a una persona de sexo masculino, siempre y cuando se mantengan las tendencias de mortalidad existentes en un determinado per_odo."
